"","ADED","zipcode"
"1370",39046,"11372"
"1371",39047,"11372"
"1372",39048,"11372"
"1372.1",39048,"11373"
"1372.2",39048,"11377"
"1373",39049,"11372"
"1374",39050,"11372"
"1374.1",39050,"11377"
"1375",39051,"11372"
"1376",39052,"11368"
"1377",39053,"11368"
"1377.1",39053,"11373"
"1378",39054,"11368"
"1379",39055,"11373"
"1380",39056,"11372"
"1381",40001,"11357"
"1382",40002,"11357"
"1383",40003,"11354"
"1384",40004,"11354"
"1384.1",40004,"11357"
"1385",40005,"11354"
"1385.1",40005,"11357"
"1385.2",40005,"11358"
"1386",40006,"11354"
"1386.1",40006,"11357"
"1386.2",40006,"11358"
"1387",40007,"11354"
"1387.1",40007,"11358"
"1388",40008,"11354"
"1389",40009,"11354"
"1389.1",40009,"11358"
"1390",40010,"11358"
"1391",40011,"11358"
"1392",40012,"11354"
"1392.1",40012,"11358"
"1393",40013,"11354"
"1393.1",40013,"11357"
"1394",40014,"11351"
"1394.1",40014,"11354"
"1394.2",40014,"11357"
"1395",40015,"11354"
"1396",40016,"11354"
"1397",40017,"11354"
"1398",40018,"11354"
"1399",40019,"11354"
"1400",40020,"11354"
"1401",40021,"11354"
"1402",40022,"11354"
"1402.1",40022,"11355"
"1403",40023,"11354"
"1404",40024,"11354"
"1405",40025,"11354"
"1406",40026,"11354"
"1406.1",40026,"11355"
"1407",40027,"11355"
"1407.1",40027,"11358"
"1408",40028,"11358"
"1409",40029,"11358"
"1410",40030,"11355"
"1410.1",40030,"11358"
"1411",40031,"11355"
"1412",40032,"11355"
"1413",40033,"11355"
"1414",40034,"11355"
"1415",40035,"11355"
"1416",40036,"11355"
"1417",40041,"11355"
"1418",40042,"11355"
"1419",40043,"11355"
"1420",40044,"11355"
"1421",40045,"11355"
"1422",40046,"11354"
"1422.1",40046,"11355"
"1422.2",40046,"11368"
"1423",40047,"11354"
"1423.1",40047,"11357"
"1424",40048,"11354"
"1425",40049,"11354"
"1426",40050,"11354"
"1427",40051,"11354"
"1427.1",40051,"11355"
"1427.2",40051,"11368"
"1428",40052,"11354"
"1429",41010,"11229"
"1430",41011,"11229"
"1430.1",41011,"11210"
"1431",40053,"11354"
"1431.1",40053,"11355"
"1431.2",40053,"11358"
"1432",40054,"11354"
"1432.1",40054,"11368"
"1433",40055,"11368"
"1434",40056,"11354"
"1434.1",40056,"11355"
"1435",40057,"11355"
"1436",40058,"11355"
"1437",40059,"11354"
"1437.1",40059,"11355"
"1438",40060,"11354"
"1439",41001,"11230"
"1439.1",41001,"11210"
"1440",41002,"11229"
"1440.1",41002,"11210"
"1441",41003,"11229"
"1441.1",41003,"11230"
"1441.2",41003,"11210"
"1442",41004,"11229"
"1442.1",41004,"11230"
"1443",41005,"11229"
"1443.1",41005,"11210"
"1444",41006,"11229"
"1444.1",41006,"11230"
"1444.2",41006,"11210"
"1445",41007,"11229"
"1446",41008,"11229"
"1447",41009,"11229"
"1448",41013,"11229"
"1448.1",41013,"11234"
"1448.2",41013,"11210"
"1449",41014,"11229"
"1450",41015,"11229"
"1450.1",41015,"11234"
"1450.2",41015,"11210"
"1451",41016,"11229"
"1451.1",41016,"11234"
"1451.2",41016,"11210"
"1452",41017,"11229"
"1452.1",41017,"11234"
"1453",41018,"11229"
"1453.1",41018,"11234"
"1454",41019,"11234"
"1454.1",41019,"11210"
"1455",41020,"11234"
"1455.1",41020,"11210"
"1456",41021,"11234"
"1457",41022,"11234"
"1458",41023,"11234"
"1459",41024,"11234"
"1459.1",41024,"11210"
"1460",41025,"11234"
"1460.1",41025,"11210"
"1461",41026,"11234"
"1461.1",41026,"11210"
"1462",41027,"11234"
"1463",41028,"11234"
"1463.1",41028,"11210"
"1464",41029,"11234"
"1464.1",41029,"11210"
"1465",41030,"11210"
"1466",41031,"11234"
"1466.1",41031,"11210"
"1467",41032,"11210"
"1468",41033,"11210"
"1469",41034,"11234"
"1469.1",41034,"11210"
"1470",41035,"11229"
"1470.1",41035,"11235"
"1471",41036,"11229"
"1471.1",41036,"11234"
"1471.2",41036,"11235"
"1472",41037,"11234"
"1473",41038,"11234"
"1474",41039,"11234"
"1475",41040,"11234"
"1476",41041,"11234"
"1476.1",41041,"11210"
"1477",41042,"11229"
"1478",41043,"11234"
"1478.1",41043,"11210"
"1479",41044,"11235"
"1480",41045,"11234"
"1480.1",41045,"11203"
"1480.2",41045,"11210"
"1481",41046,"11229"
"1481.1",41046,"11234"
"1482",41047,"11203"
"1483",41048,"11234"
"1483.1",41048,"11203"
"1484",41049,"11234"
"1485",41050,"11234"
"1485.1",41050,"11210"
"1486",41051,"11234"
"1486.1",41051,"11210"
"1487",41052,"11210"
"1488",41053,"11210"
"1489",41054,"11210"
"1490",41055,"11210"
"1491",41056,"11234"
"1492",41057,"11229"
"1493",41058,"11229"
"1494",41059,"11229"
"1495",41060,"11229"
"1496",41061,"11229"
"1497",41062,"11229"
"1498",41063,"11229"
"1499",41064,"11229"
"1500",41065,"11229"
"1500.1",41065,"11235"
"1501",41095,"11234"
"1502",41066,"11229"
"1503",41067,"11229"
"1504",41068,"11229"
"1504.1",41068,"11235"
"1505",41069,"11229"
"1505.1",41069,"11235"
"1506",41070,"11229"
"1506.1",41070,"11235"
"1507",41071,"11229"
"1507.1",41071,"11235"
"1508",41072,"11229"
"1508.1",41072,"11235"
"1509",41073,"11235"
"1510",41074,"11229"
"1510.1",41074,"11235"
"1511",41075,"11229"
"1512",41076,"11229"
"1513",41077,"11229"
"1514",41078,"11229"
"1514.1",41078,"11235"
"1515",41079,"11229"
"1515.1",41079,"11235"
"1516",41080,"11229"
"1517",41081,"11235"
"1518",41082,"11235"
"1519",41083,"11235"
"1520",41084,"11229"
"1521",41085,"11235"
"1522",41086,"11235"
"1523",41087,"11235"
"1524",41088,"11235"
"1525",41089,"11234"
"1525.1",41089,"11235"
"1526",41096,"11210"
"1527",41097,"11234"
"1527.1",41097,"11203"
"1528",41098,"11210"
"1529",41099,"11234"
"1530",42001,"11218"
"1531",42002,"11225"
"1531.1",42002,"11226"
"1532",42003,"11226"
"1532.1",42003,"11218"
"1533",42004,"11226"
"1534",42005,"11218"
"1535",42006,"11226"
"1535.1",42006,"11218"
"1536",57053,"11216"
"1537",41090,"11235"
"1538",41091,"11234"
"1538.1",41091,"11210"
"1539",41092,"11235"
"1540",41093,"11234"
"1540.1",41093,"11235"
"1541",41094,"11229"
"1541.1",41094,"11210"
"1542",42007,"11226"
"1542.1",42007,"11218"
"1543",42008,"11226"
"1544",42009,"11226"
"1545",42010,"11226"
"1546",42011,"11226"
"1547",42012,"11226"
"1548",42013,"11226"
"1549",42014,"11226"
"1550",42015,"11226"
"1551",42016,"11226"
"1552",42017,"11226"
"1553",42018,"11226"
"1554",42019,"11226"
"1555",42020,"11226"
"1556",42021,"11226"
"1557",42022,"11226"
"1558",42023,"11226"
"1559",42024,"11226"
"1559.1",42024,"11230"
"1560",42025,"11226"
"1560.1",42025,"11230"
"1561",42026,"11226"
"1561.1",42026,"11210"
"1562",42027,"11226"
"1562.1",42027,"11210"
"1563",42028,"11226"
"1564",42029,"11226"
"1565",42030,"11226"
"1566",42031,"11226"
"1567",42032,"11226"
"1567.1",42032,"11203"
"1568",42034,"11226"
"1568.1",42034,"11230"
"1569",42035,"11226"
"1570",42036,"11230"
"1571",42037,"11226"
"1571.1",42037,"11230"
"1572",42038,"11210"
"1573",42039,"11226"
"1573.1",42039,"11203"
"1574",42040,"11226"
"1574.1",42040,"11203"
"1575",42041,"11226"
"1575.1",42041,"11203"
"1576",42042,"11226"
"1576.1",42042,"11203"
"1577",42043,"11226"
"1578",42044,"11226"
"1579",42045,"11226"
"1579.1",42045,"11203"
"1579.2",42045,"11210"
"1580",42046,"11226"
"1580.1",42046,"11203"
"1580.2",42046,"11210"
"1581",42047,"11226"
"1581.1",42047,"11210"
"1582",42048,"11226"
"1582.1",42048,"11230"
"1582.2",42048,"11210"
"1583",42049,"11226"
"1583.1",42049,"11230"
"1583.2",42049,"11210"
"1584",42050,"11226"
"1584.1",42050,"11210"
"1585",42051,"11210"
"1586",42052,"11210"
"1587",42053,"11230"
"1587.1",42053,"11210"
"1588",42054,"11210"
"1589",42055,"11210"
"1590",42056,"11210"
"1591",42057,"11210"
"1592",42058,"11226"
"1593",42059,"11210"
"1594",42060,"11229"
"1594.1",42060,"11210"
"1595",42061,"11230"
"1595.1",42061,"11210"
"1596",42062,"11230"
"1596.1",42062,"11210"
"1597",42063,"11210"
"1598",42064,"11210"
"1599",42065,"11210"
"1600",42066,"11230"
"1600.1",42066,"11210"
"1601",42067,"11230"
"1601.1",42067,"11210"
"1602",42068,"11226"
"1603",42069,"11229"
"1603.1",42069,"11234"
"1603.2",42069,"11210"
"1604",42070,"11226"
"1605",42071,"11226"
"1605.1",42071,"11210"
"1606",42072,"11226"
"1607",42073,"11230"
"1607.1",42073,"11210"
"1608",42074,"11226"
"1609",43017,"11225"
"1609.1",43017,"11203"
"1610",43018,"11225"
"1611",42075,"11226"
"1611.1",42075,"11218"
"1612",42076,"11226"
"1613",42077,"11226"
"1614",42078,"11226"
"1614.1",42078,"11230"
"1614.2",42078,"11210"
"1615",42079,"11226"
"1615.1",42079,"11210"
"1616",42080,"11226"
"1617",42081,"11210"
"1618",42082,"11210"
"1619",43001,"11225"
"1619.1",43001,"11238"
"1620",43002,"11225"
"1621",43003,"11225"
"1621.1",43003,"11226"
"1622",43004,"11225"
"1622.1",43004,"11226"
"1623",43005,"11226"
"1624",43006,"11225"
"1624.1",43006,"11226"
"1625",43007,"11225"
"1625.1",43007,"11226"
"1626",43008,"11226"
"1627",43009,"11226"
"1628",43010,"11226"
"1629",43011,"11225"
"1630",43012,"11213"
"1631",43013,"11213"
"1632",43014,"11225"
"1633",43015,"11225"
"1634",43020,"11225"
"1635",43021,"11225"
"1635.1",43021,"11203"
"1636",43022,"11225"
"1636.1",43022,"11203"
"1637",43023,"11225"
"1638",43024,"11225"
"1639",43025,"11225"
"1639.1",43025,"11226"
"1640",43026,"11225"
"1640.1",43026,"11226"
"1641",43027,"11226"
"1642",43028,"11225"
"1642.1",43028,"11226"
"1642.2",43028,"11203"
"1643",43029,"11226"
"1643.1",43029,"11203"
"1644",43030,"11226"
"1644.1",43030,"11203"
"1645",43031,"11226"
"1646",43032,"11226"
"1647",43033,"11226"
"1648",43034,"11226"
"1649",43035,"11225"
"1650",43036,"11225"
"1651",43037,"11225"
"1652",43038,"11225"
"1652.1",43038,"11213"
"1653",43039,"11225"
"1653.1",43039,"11213"
"1653.2",43039,"11216"
"1654",43040,"11225"
"1654.1",43040,"11213"
"1655",43041,"11216"
"1656",43042,"11213"
"1656.1",43042,"11216"
"1657",43043,"11213"
"1658",43044,"11213"
"1658.1",43044,"11216"
"1659",43045,"11213"
"1659.1",43045,"11216"
"1660",43046,"11213"
"1660.1",43046,"11216"
"1661",43050,"11213"
"1661.1",43050,"11216"
"1662",43051,"11213"
"1663",43052,"11203"
"1664",43053,"11225"
"1664.1",43053,"11203"
"1665",43054,"11225"
"1665.1",43054,"11203"
"1666",43055,"11225"
"1666.1",43055,"11203"
"1667",43056,"11225"
"1667.1",43056,"11203"
"1667.2",43056,"11213"
"1668",43057,"11225"
"1668.1",43057,"11213"
"1669",43058,"11213"
"1670",43059,"11213"
"1671",43060,"11213"
"1672",43061,"11213"
"1673",43062,"11225"
"1673.1",43062,"11213"
"1674",43063,"11213"
"1675",43064,"11213"
"1676",43065,"11213"
"1677",43066,"11203"
"1677.1",43066,"11213"
"1678",43067,"11203"
"1679",43068,"11203"
"1680",43069,"11203"
"1681",44009,"11218"
"1682",67048,"10023"
"1683",43070,"11203"
"1684",43071,"11203"
"1685",43072,"11213"
"1685.1",43072,"11216"
"1686",43073,"11225"
"1687",43074,"11226"
"1688",43075,"11225"
"1689",43076,"11225"
"1689.1",43076,"11203"
"1689.2",43076,"11213"
"1690",43077,"11225"
"1691",43078,"11226"
"1692",43079,"11203"
"1693",43080,"11225"
"1694",43081,"11225"
"1695",43082,"11225"
"1696",43083,"11226"
"1697",43084,"11225"
"1697.1",43084,"11213"
"1698",43085,"11225"
"1698.1",43085,"11213"
"1699",43086,"11216"
"1700",43087,"11216"
"1701",44001,"11218"
"1701.1",44001,"11219"
"1702",44002,"11218"
"1702.1",44002,"11219"
"1703",44003,"11218"
"1703.1",44003,"11219"
"1704",44004,"11204"
"1704.1",44004,"11218"
"1704.2",44004,"11219"
"1705",44005,"11218"
"1706",44006,"11218"
"1707",44010,"11218"
"1708",44011,"11215"
"1708.1",44011,"11218"
"1708.2",44011,"11219"
"1709",44012,"11215"
"1710",44013,"11218"
"1710.1",44013,"11219"
"1711",44014,"11215"
"1711.1",44014,"11218"
"1712",44015,"11215"
"1712.1",44015,"11218"
"1713",44016,"11218"
"1714",44017,"11215"
"1714.1",44017,"11218"
"1715",44018,"11218"
"1716",44019,"11218"
"1717",44020,"11218"
"1718",44021,"11204"
"1718.1",44021,"11218"
"1718.2",44021,"11219"
"1719",44022,"11204"
"1719.1",44022,"11218"
"1720",44023,"11230"
"1720.1",44023,"11218"
"1721",44024,"11230"
"1721.1",44024,"11218"
"1722",44025,"11230"
"1722.1",44025,"11204"
"1723",44026,"11230"
"1724",44027,"11230"
"1725",44028,"11230"
"1725.1",44028,"11218"
"1726",44029,"11230"
"1727",44030,"11230"
"1728",44070,"11215"
"1729",44031,"11230"
"1730",44032,"11230"
"1731",44033,"11230"
"1731.1",44033,"11218"
"1732",44034,"11226"
"1732.1",44034,"11230"
"1732.2",44034,"11218"
"1733",44035,"11226"
"1733.1",44035,"11230"
"1733.2",44035,"11218"
"1734",44036,"11226"
"1734.1",44036,"11218"
"1735",44037,"11218"
"1736",44038,"11226"
"1736.1",44038,"11218"
"1737",44039,"11218"
"1738",44040,"11218"
"1739",44041,"11230"
"1739.1",44041,"11218"
"1740",44042,"11230"
"1740.1",44042,"11218"
"1741",44043,"11230"
"1741.1",44043,"11218"
"1742",44044,"11218"
"1743",44045,"11218"
"1744",44046,"11218"
"1745",44047,"11218"
"1746",44048,"11226"
"1746.1",44048,"11218"
"1747",44049,"11218"
"1748",44050,"11218"
"1749",44051,"11218"
"1750",44071,"11215"
"1751",44052,"11215"
"1751.1",44052,"11218"
"1752",44053,"11218"
"1753",44054,"11218"
"1754",44055,"11218"
"1755",44056,"11218"
"1756",44057,"11215"
"1756.1",44057,"11218"
"1757",44058,"11215"
"1757.1",44058,"11218"
"1758",44059,"11215"
"1759",44060,"11215"
"1760",44061,"11215"
"1761",44062,"11215"
"1762",44063,"11215"
"1763",44064,"11215"
"1764",44065,"11215"
"1765",44066,"11215"
"1765.1",44066,"11218"
"1766",44067,"11230"
"1767",44068,"11215"
"1768",44069,"11215"
"1769",67049,"10069"
"1769.1",67049,"10023"
"1770",44073,"11215"
"1771",44074,"11215"
"1772",44075,"11215"
"1773",44076,"11215"
"1774",44077,"11215"
"1775",44078,"11215"
"1776",44079,"11215"
"1777",44080,"11215"
"1778",44081,"11218"
"1779",44082,"11218"
"1780",44083,"11215"
"1780.1",44083,"11218"
"1781",44084,"11215"
"1782",44085,"11218"
"1782.1",44085,"11219"
"1783",44086,"11218"
"1784",44087,"11230"
"1784.1",44087,"11218"
"1785",44088,"11218"
"1786",44089,"11215"
"1786.1",44089,"11218"
"1787",44090,"11226"
"1787.1",44090,"11218"
"1788",44091,"11230"
"1789",45016,"11223"
"1790",45017,"11223"
"1791",45018,"11223"
"1792",45037,"11235"
"1792.1",45037,"11223"
"1793",44092,"11225"
"1793.1",44092,"11238"
"1793.2",44092,"11215"
"1793.3",44092,"11218"
"1794",44093,"11230"
"1795",45001,"11230"
"1796",45002,"11230"
"1797",45003,"11229"
"1797.1",45003,"11230"
"1798",45004,"11229"
"1798.1",45004,"11230"
"1799",45005,"11229"
"1799.1",45005,"11230"
"1800",45006,"11230"
"1800.1",45006,"11223"
"1801",45007,"11230"
"1801.1",45007,"11204"
"1801.2",45007,"11223"
"1802",45008,"11230"
"1802.1",45008,"11223"
"1803",45009,"11230"
"1803.1",45009,"11223"
"1804",45010,"11229"
"1804.1",45010,"11230"
"1804.2",45010,"11223"
"1805",45011,"11229"
"1805.1",45011,"11230"
"1805.2",45011,"11223"
"1806",45012,"11229"
"1806.1",45012,"11230"
"1807",45013,"11229"
"1808",45014,"11229"
"1808.1",45014,"11223"
"1809",45015,"11223"
"1810",47034,"11214"
"1810.1",47034,"11223"
"1811",45019,"11223"
"1812",45020,"11223"
"1813",45021,"11223"
"1814",45022,"11229"
"1814.1",45022,"11223"
"1815",45023,"11229"
"1815.1",45023,"11223"
"1816",45024,"11229"
"1817",45025,"11229"
"1818",45026,"11229"
"1819",45027,"11229"
"1819.1",45027,"11223"
"1820",45028,"11229"
"1820.1",45028,"11235"
"1821",45029,"11229"
"1821.1",45029,"11223"
"1822",45030,"11229"
"1822.1",45030,"11223"
"1823",45031,"11229"
"1823.1",45031,"11223"
"1824",45032,"11223"
"1825",45033,"11223"
"1826",45034,"11223"
"1827",45035,"11223"
"1828",45036,"11235"
"1828.1",45036,"11223"
"1829",47035,"11214"
"1829.1",47035,"11223"
"1830",45038,"11229"
"1830.1",45038,"11235"
"1830.2",45038,"11223"
"1831",45039,"11229"
"1831.1",45039,"11235"
"1832",45040,"11223"
"1833",45041,"11223"
"1834",45042,"11235"
"1834.1",45042,"11223"
"1835",45043,"11223"
"1836",45044,"11214"
"1836.1",45044,"11223"
"1837",45045,"11223"
"1838",45046,"11223"
"1839",45047,"11214"
"1839.1",45047,"11223"
"1839.2",45047,"11224"
"1840",45048,"11235"
"1840.1",45048,"11223"
"1840.2",45048,"11224"
"1841",45049,"11235"
"1842",45050,"11235"
"1843",46002,"11224"
"1844",45051,"11235"
"1845",45052,"11235"
"1846",45053,"11235"
"1847",45054,"11235"
"1848",45055,"11223"
"1849",45056,"11229"
"1849.1",45056,"11235"
"1850",45057,"11235"
"1851",45058,"11235"
"1852",45059,"11235"
"1853",45060,"11235"
"1854",45061,"11235"
"1854.1",45061,"11224"
"1855",45062,"11235"
"1856",46029,"11235"
"1856.1",46029,"11224"
"1857",45063,"11235"
"1858",45064,"11235"
"1859",45065,"11235"
"1860",45066,"11235"
"1861",45067,"11235"
"1862",45068,"11235"
"1863",45069,"11235"
"1864",45070,"11235"
"1865",45071,"11235"
"1866",46001,"11224"
"1867",46030,"11224"
"1868",45072,"11235"
"1869",45073,"11235"
"1870",45074,"11235"
"1870.1",45074,"11224"
"1871",45075,"11235"
"1872",45076,"11229"
"1872.1",45076,"11223"
"1873",45077,"11235"
"1873.1",45077,"11223"
"1874",45078,"11229"
"1875",46003,"11224"
"1876",46004,"11224"
"1877",46005,"11224"
"1878",46006,"11224"
"1879",46007,"11224"
"1880",46008,"11224"
"1881",46009,"11224"
"1882",46010,"11224"
"1883",46020,"11235"
"1883.1",46020,"11224"
"1884",46021,"11235"
"1884.1",46021,"11224"
"1885",46022,"11224"
"1886",46023,"11224"
"1887",67050,"10023"
"1888",46011,"11224"
"1889",46012,"11224"
"1890",46013,"11224"
"1891",46014,"11224"
"1892",46015,"11224"
"1893",46024,"11224"
"1894",46025,"11224"
"1895",46026,"11224"
"1896",46027,"11224"
"1897",51020,"11215"
"1898",46016,"11235"
"1898.1",46016,"11214"
"1898.2",46016,"11223"
"1898.3",46016,"11224"
"1899",46017,"11224"
"1900",46018,"11224"
"1901",46019,"11235"
"1901.1",46019,"11224"
"1902",46028,"11224"
"1903",46031,"11209"
"1904",46032,"11224"
"1905",46033,"11224"
"1906",46034,"11209"
"1907",46035,"11228"
"1907.1",46035,"11209"
"1908",46036,"11228"
"1908.1",46036,"11209"
"1908.2",46036,"11214"
"1909",46040,"11214"
"1909.1",46040,"11223"
"1909.2",46040,"11224"
"1910",46041,"11209"
"1911",46042,"11228"
"1912",47036,"11214"
"1913",46037,"11214"
"1914",46038,"11235"
"1914.1",46038,"11223"
"1914.2",46038,"11224"
"1915",46039,"11223"
"1915.1",46039,"11224"
"1916",46043,"11235"
"1916.1",46043,"11224"
"1917",46044,"11235"
"1917.1",46044,"11224"
"1918",46045,"11235"
"1919",46046,"11235"
"1919.1",46046,"11224"
"1920",46047,"11228"
"1920.1",46047,"11209"
"1921",46048,"11209"
"1922",46049,"11209"
"1923",46050,"11209"
"1924",46051,"11209"
"1925",46052,"11209"
"1926",46053,"11209"
"1927",46054,"11209"
"1928",46055,"11209"
"1929",46056,"11209"
"1930",46057,"11209"
"1931",46058,"11209"
"1932",46059,"11209"
"1933",46060,"11209"
"1934",46061,"11209"
"1935",46062,"11209"
"1936",46063,"11209"
"1937",46064,"11209"
"1938",46065,"11209"
"1939",46066,"11228"
"1939.1",46066,"11219"
"1939.2",46066,"11220"
"1940",46067,"11228"
"1941",46068,"11228"
"1941.1",46068,"11209"
"1942",46069,"11228"
"1942.1",46069,"11209"
"1943",46070,"11228"
"1944",46071,"11228"
"1944.1",46071,"11209"
"1945",46072,"11228"
"1945.1",46072,"11209"
"1946",46073,"11235"
"1946.1",46073,"11224"
"1947",47008,"11214"
"1948",46074,"11228"
"1948.1",46074,"11209"
"1948.2",46074,"11425"
"1949",46075,"11209"
"1950",46076,"11209"
"1951",46077,"11235"
"1951.1",46077,"11223"
"1952",46078,"11209"
"1953",46079,"11228"
"1954",46080,"11224"
"1955",46081,"11224"
"1956",47009,"11214"
"1957",47010,"11214"
"1958",47011,"11214"
"1959",47012,"11214"
"1960",47013,"11214"
"1961",47014,"11214"
"1962",47037,"11214"
"1963",47038,"11214"
"1964",46082,"11228"
"1964.1",46082,"11209"
"1964.2",46082,"11214"
"1965",47001,"11228"
"1966",47002,"11228"
"1966.1",47002,"11214"
"1967",47003,"11228"
"1967.1",47003,"11214"
"1968",47004,"11214"
"1969",47005,"11228"
"1969.1",47005,"11214"
"1970",47006,"11214"
"1971",47007,"11214"
"1972",47039,"11214"
"1973",47015,"11214"
"1974",47016,"11214"
"1975",47017,"11214"
"1976",47018,"11214"
"1977",47019,"11214"
"1978",47020,"11214"
"1978.1",47020,"11223"
"1979",47021,"11204"
"1979.1",47021,"11214"
"1980",47022,"11204"
"1981",47023,"11204"
"1982",47024,"11204"
"1982.1",47024,"11214"
"1982.2",47024,"11223"
"1983",47025,"11204"
"1983.1",47025,"11223"
"1984",47026,"11204"
"1984.1",47026,"11223"
"1985",47027,"11204"
"1985.1",47027,"11223"
"1986",47028,"11204"
"1986.1",47028,"11223"
"1987",47029,"11204"
"1987.1",47029,"11214"
"1987.2",47029,"11223"
"1988",47030,"11204"
"1989",47031,"11223"
"1990",47032,"11223"
"1991",47033,"11223"
"1992",47040,"11214"
"1993",47041,"11214"
"1994",47042,"11214"
"1995",47043,"11214"
"1995.1",47043,"11223"
"1996",47044,"11214"
"1997",47045,"11214"
"1997.1",47045,"11223"
"1998",47046,"11214"
"1998.1",47046,"11223"
"1999",47047,"11223"
"2000",47048,"11223"
"2001",47049,"11223"
"2002",47050,"11214"
"2002.1",47050,"11223"
"2003",47051,"11214"
"2003.1",47051,"11223"
"2004",47052,"11223"
"2005",47053,"11223"
"2006",47054,"11214"
"2006.1",47054,"11223"
"2007",47055,"11214"
"2007.1",47055,"11223"
"2008",47056,"11214"
"2009",48025,"11204"
"2009.1",48025,"11218"
"2009.2",48025,"11219"
"2010",47057,"11214"
"2011",47058,"11214"
"2012",47059,"11214"
"2012.1",47059,"11223"
"2013",47060,"11214"
"2014",47061,"11214"
"2015",47062,"11214"
"2016",47063,"11214"
"2017",47064,"11214"
"2018",47065,"11214"
"2019",47066,"11223"
"2020",47067,"11214"
"2021",47068,"11214"
"2022",47069,"11204"
"2022.1",47069,"11223"
"2023",47070,"11223"
"2024",47071,"11228"
"2024.1",47071,"11214"
"2025",47072,"11228"
"2025.1",47072,"11214"
"2026",47073,"11223"
"2027",47074,"11214"
"2028",48001,"11219"
"2029",48002,"11219"
"2030",48003,"11219"
"2031",48026,"11230"
"2031.1",48026,"11204"
"2031.2",48026,"11218"
"2032",48004,"11219"
"2033",48005,"11219"
"2034",48006,"11219"
"2035",48007,"11219"
"2036",48008,"11219"
"2037",48009,"11219"
"2038",48010,"11219"
"2039",48011,"11219"
"2040",48012,"11219"
"2041",48013,"11219"
"2042",48014,"11219"
"2043",48015,"11219"
"2044",48016,"11219"
"2045",48017,"11219"
"2046",48018,"11219"
"2047",48019,"11219"
"2048",48020,"11204"
"2048.1",48020,"11219"
"2049",48021,"11204"
"2049.1",48021,"11219"
"2050",48022,"11204"
"2050.1",48022,"11219"
"2051",48023,"11204"
"2051.1",48023,"11219"
"2052",48024,"11204"
"2052.1",48024,"11219"
"2053",67072,"10024"
"2054",48027,"11204"
"2054.1",48027,"11219"
"2055",48028,"11204"
"2056",48029,"11204"
"2057",48030,"11230"
"2057.1",48030,"11204"
"2058",48031,"11230"
"2058.1",48031,"11204"
"2058.2",48031,"11218"
"2059",48032,"11230"
"2059.1",48032,"11204"
"2060",48033,"11204"
"2061",48034,"11204"
"2062",48035,"11204"
"2063",48036,"11204"
"2064",48037,"11204"
"2065",48038,"11204"
"2066",48039,"11230"
"2066.1",48039,"11204"
"2067",48040,"11230"
"2067.1",48040,"11204"
"2068",48041,"11230"
"2068.1",48041,"11204"
"2069",48042,"11230"
"2069.1",48042,"11204"
"2070",48043,"11230"
"2070.1",48043,"11204"
"2071",48065,"11230"
"2072",48044,"11230"
"2072.1",48044,"11204"
"2073",48045,"11230"
"2073.1",48045,"11204"
"2074",48046,"11230"
"2075",48047,"11230"
"2076",48048,"11230"
"2077",48049,"11230"
"2078",48050,"11230"
"2079",48051,"11230"
"2080",48052,"11230"
"2080.1",48052,"11223"
"2081",48053,"11230"
"2082",48054,"11230"
"2083",48055,"11230"
"2084",48056,"11230"
"2084.1",48056,"11210"
"2085",48057,"11230"
"2086",48058,"11230"
"2087",48059,"11230"
"2088",48060,"11230"
"2089",48061,"11230"
"2090",48062,"11230"
"2091",48063,"11230"
"2091.1",48063,"11210"
"2092",48064,"11230"
"2093",66035,"10003"
"2093.1",66035,"10009"
"2094",48066,"11230"
"2095",48067,"11230"
"2096",48068,"11204"
"2097",48069,"11204"
"2098",48070,"11230"
"2098.1",48070,"11210"
"2099",48071,"11204"
"2099.1",48071,"11219"
"2100",48072,"11219"
"2101",49001,"11220"
"2102",49002,"11220"
"2103",49003,"11220"
"2104",49004,"11220"
"2105",49005,"11220"
"2106",49006,"11204"
"2106.1",49006,"11219"
"2107",49007,"11219"
"2107.1",49007,"11220"
"2108",49008,"11219"
"2108.1",49008,"11220"
"2109",49009,"11219"
"2109.1",49009,"11220"
"2110",49010,"11219"
"2110.1",49010,"11220"
"2111",49011,"11219"
"2111.1",49011,"11220"
"2112",49012,"11220"
"2113",49013,"11220"
"2114",49014,"11220"
"2115",49015,"11219"
"2115.1",49015,"11220"
"2116",49016,"11204"
"2116.1",49016,"11219"
"2117",49017,"11219"
"2118",49018,"11219"
"2119",49019,"11219"
"2120",49020,"11219"
"2121",49021,"11228"
"2121.1",49021,"11219"
"2122",49022,"11228"
"2122.1",49022,"11204"
"2122.2",49022,"11219"
"2123",49023,"11204"
"2124",49024,"11204"
"2125",49025,"11204"
"2125.1",49025,"11214"
"2126",49026,"11204"
"2126.1",49026,"11214"
"2127",49027,"11228"
"2127.1",49027,"11214"
"2128",49028,"11228"
"2128.1",49028,"11204"
"2128.2",49028,"11214"
"2129",49029,"11228"
"2129.1",49029,"11214"
"2130",49030,"11219"
"2131",49031,"11219"
"2131.1",49031,"11220"
"2132",49032,"11220"
"2133",49033,"11219"
"2133.1",49033,"11220"
"2134",49034,"11214"
"2135",49035,"11204"
"2135.1",49035,"11214"
"2136",49036,"11214"
"2137",49037,"11204"
"2137.1",49037,"11219"
"2138",49038,"11204"
"2139",49039,"11204"
